dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.16165090283748926;0.1572917574790174;[[30, 23, 39, 32, 31, 29], [66, 67, 58, 68, 76, 78], [83, 74, 83, 74, 77, 76], [75, 72, 88, 88, 80, 87], [72, 72, 68, 75, 64, 66], [51, 67, 63, 65, 65, 44]];[0.07957559681697612, 0.17866666666666667, 0.20802005012531327, 0.21890547263681592, 0.1628498727735369, 0.11578947368421053];0.17482517482517482;0.17148634383052583;[[14, 15, 14, 14, 11, 12], [30, 35, 28, 22, 27, 35], [24, 25, 38, 36, 41, 37], [38, 32, 38, 31, 47, 25], [31, 26, 26, 32, 31, 33], [20, 35, 22, 20, 30, 26]];[0.08917197452229299, 0.20833333333333334, 0.2289156626506024, 0.2, 0.1657754010695187, 0.15476190476190477];0.0;[]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.2710765239948119;0.25318986377282365;[[29, 27, 24, 40, 22, 40], [62, 109, 41, 68, 49, 82], [46, 47, 40, 163, 45, 125], [53, 47, 48, 207, 47, 85], [85, 25, 24, 20, 167, 94], [65, 50, 46, 48, 68, 75]];[0.08529411764705883, 0.35737704918032787, 0.17937219730941703, 0.3791208791208791, 0.41959798994974873, 0.1497005988023952];0.23176823176823177;0.22253338692028587;[[18, 6, 13, 17, 11, 15], [26, 37, 26, 29, 22, 37], [21, 19, 14, 75, 23, 49], [31, 35, 18, 69, 22, 36], [39, 7, 15, 14, 61, 43], [26, 24, 24, 23, 23, 33]];[0.11180124223602485, 0.2890625, 0.12727272727272726, 0.3039647577092511, 0.3765432098765432, 0.15492957746478872];13.0;[2, 2, 1, 3, 2, 3]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.3839130434782609;0.34560984098492487;[[24, 18, 32, 29, 42, 34], [53, 78, 93, 55, 68, 63], [23, 32, 268, 62, 39, 40], [37, 58, 64, 200, 60, 67], [50, 23, 30, 26, 222, 60], [41, 51, 50, 55, 62, 91]];[0.10526315789473684, 0.3, 0.49906890130353815, 0.468384074941452, 0.45030425963488846, 0.2563380281690141];0.37162837162837165;0.33817946951814565;[[9, 9, 11, 16, 25, 10], [33, 31, 36, 24, 26, 27], [16, 12, 106, 21, 23, 23], [25, 20, 33, 74, 31, 28], [22, 10, 9, 10, 98, 30], [14, 18, 23, 21, 23, 54]];[0.07563025210084033, 0.31, 0.48623853211009177, 0.4457831325301205, 0.4336283185840708, 0.313953488372093];26.0;[5, 3, 3, 4, 6, 5]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 7]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.3950348432055749;0.3601754490841784;[[20, 27, 28, 28, 37, 39], [38, 109, 79, 52, 67, 64], [23, 34, 238, 92, 31, 46], [45, 47, 65, 194, 66, 68], [53, 12, 28, 23, 236, 59], [38, 27, 64, 45, 64, 110]];[0.09216589861751152, 0.42578125, 0.47410358565737054, 0.4470046082949309, 0.47105788423153694, 0.2849740932642487];0.39760239760239763;0.3692539957504315;[[14, 14, 10, 11, 24, 7], [24, 40, 43, 15, 32, 23], [11, 16, 108, 40, 13, 13], [25, 22, 32, 73, 28, 31], [18, 11, 8, 14, 98, 30], [15, 16, 27, 12, 18, 65]];[0.1308411214953271, 0.33613445378151263, 0.47368421052631576, 0.44242424242424244, 0.460093896713615, 0.38461538461538464];30.0;[5, 4, 3, 5, 6, 7]


CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.16852966466036112;0.16538485081331333;[[30, 39, 30, 32, 26, 27], [79, 67, 62, 72, 63, 70], [70, 71, 77, 82, 73, 94], [84, 85, 77, 78, 91, 75], [65, 72, 77, 66, 72, 65], [66, 45, 61, 61, 54, 68]];[0.07614213197969544, 0.17678100263852242, 0.20052083333333334, 0.19948849104859334, 0.18997361477572558, 0.17042606516290726];0.17782217782217782;0.1718584727728273;[[9, 10, 19, 13, 14, 15], [33, 32, 29, 30, 25, 28], [35, 29, 41, 38, 23, 35], [31, 30, 32, 40, 35, 43], [36, 38, 25, 21, 27, 32], [28, 28, 23, 23, 22, 29]];[0.05232558139534884, 0.19161676646706588, 0.24260355029585798, 0.24242424242424243, 0.18493150684931506, 0.15934065934065933];0.0;[]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[5, 0, 0], [0, 3, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.30134025075659315;0.26480931566569327;[[28, 29, 39, 34, 31, 23], [53, 95, 86, 80, 48, 46], [22, 44, 264, 87, 27, 20], [48, 61, 66, 202, 54, 54], [55, 40, 51, 161, 57, 53], [49, 62, 71, 66, 56, 51]];[0.10980392156862745, 0.28700906344410876, 0.45753899480069327, 0.32063492063492066, 0.2087912087912088, 0.20647773279352227];0.26573426573426573;0.22994047803944362;[[13, 14, 10, 20, 13, 10], [21, 45, 41, 31, 23, 16], [14, 33, 101, 34, 8, 11], [23, 35, 30, 81, 23, 19], [20, 21, 21, 77, 15, 25], [24, 18, 37, 32, 31, 11]];[0.11304347826086956, 0.2710843373493976, 0.42083333333333334, 0.29454545454545455, 0.13274336283185842, 0.11956521739130435];13.0;[0, 5, 3, 5]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.9230769230769231;0.9553571428571429;[[2, 0, 0, 0, 0, 0], [0, 7, 0, 1, 0, 0], [0, 0, 4, 0, 0, 0], [0, 1, 0, 6, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 2]];[1.0, 0.875, 1.0, 0.8571428571428571, 1.0, 1.0];0.37869565217391304;0.3454724000617511;[[30, 34, 30, 22, 39, 27], [61, 98, 87, 55, 59, 45], [25, 31, 281, 79, 29, 18], [54, 46, 89, 192, 62, 40], [28, 35, 31, 109, 181, 30], [48, 33, 60, 44, 79, 89]];[0.12195121951219512, 0.35379061371841153, 0.486159169550173, 0.38323353293413176, 0.40311804008908686, 0.357429718875502];0.34665334665334663;0.31811074735955686;[[11, 16, 9, 16, 19, 9], [19, 41, 41, 27, 28, 21], [8, 33, 103, 36, 10, 11], [28, 25, 33, 75, 23, 27], [14, 19, 13, 38, 80, 15], [14, 15, 33, 21, 33, 37]];[0.11702127659574468, 0.2751677852348993, 0.44396551724137934, 0.352112676056338, 0.41450777202072536, 0.30833333333333335];26.0;[2, 8, 4, 7, 3, 2]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9606481481481483;[[2, 0, 0, 0, 0, 0], [0, 8, 0, 1, 0, 0], [0, 0, 4, 0, 0, 0], [0, 1, 0, 7, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 2]];[1.0, 0.8888888888888888, 1.0, 0.875, 1.0, 1.0];0.3989547038327526;0.36126356687448724;[[34, 20, 29, 29, 45, 25], [44, 89, 86, 61, 69, 55], [17, 40, 284, 77, 28, 17], [50, 46, 79, 193, 64, 50], [30, 26, 29, 72, 230, 25], [31, 34, 78, 45, 79, 86]];[0.1650485436893204, 0.34901960784313724, 0.48547008547008547, 0.40461215932914046, 0.44660194174757284, 0.3333333333333333];0.38461538461538464;0.35182898132148904;[[14, 16, 13, 12, 14, 11], [17, 42, 47, 22, 27, 22], [11, 29, 107, 34, 11, 9], [24, 24, 22, 83, 31, 27], [12, 12, 17, 26, 102, 10], [22, 12, 28, 19, 35, 37]];[0.14, 0.3111111111111111, 0.45726495726495725, 0.42346938775510207, 0.4636363636363636, 0.31896551724137934];30.0;[2, 9, 4, 8, 5, 2]
